"195,-108,62.50,3.142,0.495","0,0,0.00,0.000,0.000","18,-2,333.28,0.000,0.090","46,-13,3162.28,0.322,0.105","88,-31,4123.11,0.245,0.119","144,-60,4123.11,0.245,0.133","184,-86,2819.22,0.785,0.147","207,-103,2235.70,0.464,0.163","217,-115,250.21,1.571,0.188","207,-116,196.45,3.142,0.388","195,-108,62.50,3.142,0.495"
"-94,-132,200.01,3.142,0.483","0,0,0.00,0.000,0.000","-9,-17,1409.61,2.356,0.136","-18,-40,1414.21,2.356,0.154","-32,-59,2235.70,2.678,0.169","-45,-75,2236.07,2.678,0.192","-51,-90,1000.00,1.571,0.320","-59,-99,500.22,1.571,0.382","-67,-111,250.02,1.571,0.418","-82,-124,1413.98,2.356,0.451","-94,-132,200.01,3.142,0.483"
"18,-171,166.59,1.571,0.396","0,0,0.00,0.000,0.000","3,-19,1118.65,1.107,0.119","0,-39,1000.55,1.571,0.134","0,-64,1998.24,1.571,0.148","3,-90,1993.49,1.571,0.163","3,-113,500.33,1.571,0.182","3,-131,1000.00,1.571,0.201","3,-149,500.63,1.571,0.224","9,-163,125.05,0.000,0.279","18,-171,166.59,1.571,0.396"
"36,-21,157.15,0.785,0.221","0,0,0.00,0.000,0.000","5,-3,157.14,0.785,0.094","9,-4,142.85,0.000,0.113","14,-6,250.00,0.000,0.129","18,-9,199.97,0.000,0.148","22,-11,994.85,1.571,0.162","25,-14,1000.00,0.000,0.180","28,-18,1414.21,0.785,0.191","31,-20,995.80,1.571,0.202","36,-21,157.15,0.785,0.221"
"-18,-62,23.57,-0.785,0.605","0,0,0.00,0.000,0.000","0,-10,2232.50,2.034,0.109","-5,-22,999.12,1.571,0.124","-10,-31,1000.00,1.571,0.135","-16,-43,998.88,1.571,0.151","-20,-53,249.87,1.571,0.170","-23,-60,199.98,1.571,0.192","-26,-72,142.86,1.571,0.242","-23,-71,176.78,-0.785,0.454","-18,-62,23.57,-0.785,0.605"
"-142,50,66.65,-1.571,0.673","0,0,0.00,0.000,0.000","-26,1,1000.07,3.142,0.116","-51,1,1000.00,3.142,0.142","-77,6,1414.21,-2.356,0.172","-98,11,2000.00,3.142,0.199","-116,23,99.99,-1.571,0.270","-140,32,707.16,-2.356,0.319","-163,40,499.98,3.142,0.351","-165,48,333.33,0.000,0.526","-142,50,66.65,-1.571,0.673"
"143,-86,199.99,0.000,0.428","0,0,0.00,0.000,0.000","11,-2,999.83,0.000,0.108","28,-9,3000.00,0.000,0.121","50,-21,4242.64,0.785,0.132","77,-34,2828.43,0.785,0.143","105,-49,4123.11,0.245,0.153","127,-64,2235.70,1.107,0.164","138,-71,500.04,1.571,0.178","136,-77,142.86,1.571,0.293","143,-86,199.99,0.000,0.428"
"26,124,66.66,-1.571,0.425","0,0,0.00,0.000,0.000","2,12,1000.00,-1.571,0.123","5,27,2000.00,-1.571,0.138","5,43,2000.00,-1.571,0.152","8,60,1413.98,-0.785,0.166","11,73,2000.00,-1.571,0.179","14,85,999.83,-1.571,0.195","19,100,353.52,-0.785,0.222","24,113,222.31,-1.571,0.331","26,124,66.66,-1.571,0.425"
"-73,122,49.99,3.142,0.477","0,0,0.00,0.000,0.000","-8,14,1414.21,-2.356,0.126","-15,31,2000.00,-1.571,0.142","-21,51,2000.00,-1.571,0.158","-29,67,200.04,-1.571,0.180","-37,81,333.28,3.142,0.208","-42,91,124.96,-1.571,0.241","-48,108,1000.00,-1.571,0.309","-59,116,250.02,3.142,0.363","-73,122,49.99,3.142,0.477"
"-31,-81,125.06,1.571,0.327","0,0,0.00,0.000,0.000","-2,-9,1000.00,1.571,0.096","-5,-19,1000.00,1.571,0.116","-9,-28,1414.21,2.356,0.126","-12,-39,998.52,1.571,0.137","-16,-48,745.41,2.034,0.150","-20,-60,447.42,2.034,0.170","-24,-66,99.97,3.142,0.204","-28,-73,199.86,1.571,0.272","-31,-81,125.06,1.571,0.327"
